req,keyword,is_anchor,v
R10,부산산부인과,0,"33.71552,32.35294,27.76669,30.58325,37.8531,62.13027,33.47457,36.81455,34.75407,30.90727,32.36955,34.41342,36.73147,30.3423,25.83084,26.95247,32.85144,26.55367,30.1429,25.29079,28.38983,28.62246,26.73645,36.23296,25.82253,31.97075,23.65403,25.73113,25.93054,27.97441,24.2107,29.27052,33.36656,27.5756,29.72748,30.69956"
R10,대구산부인과,0,"42.5972,44.82386,37.86141,40.33732,42.97939,41.07676,42.68029,50.61482,44.98172,42.10701,45.09803,46.17813,47.3413,44.00132,37.49584,39.61448,44.80724,39.53971,47.45762,52.83316,42.48089,40.63642,41.27617,48.12229,39.74742,47.72349,34.24725,38.33499,37.67032,37.56231,39.34031,44.34197,44.31704,39.22399,40.37055,40.61149"
R11,서울피부과,1,"86.35007,91.25702,76.14992,77.12429,91.17801,90.85323,89.99297,88.08813,92.55617,85.20891,99.81566,100,89.09761,83.90098,75.24578,76.44838,93.11797,84.18188,84.02387,80.3283,86.08672,83.23384,90.68644,91.0639,77.46664,84.96313,63.72015,69.9087,75.49157,71.06741,69.54002,69.25912,71.62921,69.72436,75.43012,75.39501"
R11,서울내과,0,"64.17661,87.99157,80.8462,97.40168,76.29037,66.22191,65.24754,62.63167,65.51088,60.99016,68.74122,78.65168,63.93082,72.84058,66.2658,74.63132,76.76439,54.16081,60.40203,54.27492,55.66186,50.35112,53.01966,57.70716,57.37359,66.08146,63.88693,61.86797,53.30933,50.43012,49.62254,46.64676,47.7528,45.30372,49.56987,54.79283"
R11,부산내과,0,"18.33742,20.93574,17.67029,23.50772,19.43469,19.23279,16.30091,15.28265,17.30161,15.22998,17.35428,19.73314,15.84445,16.37991,14.0625,18.88167,23.13904,14.29073,16.19557,14.60674,17.09971,13.05301,12.14887,13.73771,13.72015,17.77563,12.75456,13.77282,14.00983,19.24157,13.91327,13.11446,15.15098,11.16573,12.06987,12.74578"
R11,대구내과,0,"20.62851,24.58742,19.06601,28.08988,24.64887,24.06074,19.36446,18.42521,20.07549,17.39817,17.33672,21.34831,21.65554,20.43539,17.7054,22.84058,27.14185,14.71207,18.14431,14.58918,16.46769,15.49332,12.49122,14.95786,13.55337,23.55161,16.84515,17.80196,17.38061,24.82443,15.783,13.43925,17.9863,14.26439,14.29073,16.30969"
R11,인천내과,0,"10.78827,11.06917,9.90168,12.64044,11.13061,11.27106,9.35744,10.4547,13.47436,8.5323,9.2521,10.77949,9.375,9.01509,6.73279,9.50667,12.3771,7.28581,9.21699,7.11903,8.22507,7.11903,7.03125,7.33848,13.26369,12.9389,11.74508,12.94768,12.34199,10.84971,6.79424,6.53967,7.17169,5.92521,6.59234,6.6889"
R12,서울피부과,1,"86.35007,91.25702,76.14992,77.12429,91.17801,90.85323,89.99297,88.08813,92.55617,85.20891,99.81566,100,89.09761,83.90098,75.24578,76.44838,93.11797,84.18188,84.02387,80.3283,86.08672,83.23384,90.68644,91.0639,77.46664,84.96313,63.72015,69.9087,75.49157,71.06741,69.54002,69.25912,71.62921,69.72436,75.43012,75.39501"
R12,광주내과,0,"16.58181,18.09164,15.55477,18.81144,17.93363,17.35428,15.56355,15.84445,16.7047,14.68574,15.10709,18.39887,17.02071,15.56355,14.60674,18.46032,20.94452,12.56144,14.34339,13.05301,14.0625,12.26299,12.24543,13.94838,12.93012,16.81882,14.18539,13.2198,14.65063,16.76615,14.15905,14.11516,16.88026,13.53581,12.40344,14.10639"
R12,대전내과,0,"30.07373,34.84901,27.80021,38.13202,33.70786,33.76931,28.89747,28.03721,32.35603,28.87991,30.28441,34.23455,33.76931,30.17907,24.89466,31.9698,37.44733,22.04178,24.86832,21.10252,24.20997,24.38553,20.57584,23.04248,21.76088,28.29178,22.77914,22.37535,21.97155,26.82584,23.49016,20.12816,24.38553,22.18223,21.58532,22.36657"
