시도,시군구,지도_병원계,지도_CNP차앤박피부과,지도_CU클린업 피부과,지도_가정의학과,지도_국립병원,지도_내과,"지도_노인,요양병원",지도_대학병원,지도_보훈병원,지도_비뇨기과,지도_산부인과,지도_성장클리닉,지도_성형외과,지도_소아청소년과,지도_시도립병원,지도_신경과,지도_신경외과,지도_안과,지도_영상의학과,지도_외과,지도_이비인후과,지도_이지함피부과,지도_일반의원,지도_재활의학과,지도_정신건강의학과,지도_정형외과,지도_종합병원,지도_진단검사의학과,지도_치과,지도_통증클리닉,지도_피부과,지도_한방병원,지도_한의원,지도_항문외과,지도_흉부외과
경기,부천원미구,716,1,0,11,0,52,10,2,0,14,17,0,24,17,0,1,4,17,3,15,27,0,35,6,22,43,1,0,187,11,37,11,143,3,2
경기,성남분당구,1077,2,0,23,0,62,6,2,0,21,28,0,21,31,0,5,8,21,3,9,52,1,45,16,50,53,2,1,274,12,97,5,222,2,3
경기,성남수정구,508,0,0,6,0,33,7,0,0,11,13,0,5,22,1,3,3,10,0,6,24,0,30,5,14,26,1,0,140,11,36,2,96,3,0
경기,성남중원구,327,0,0,10,0,20,3,0,0,5,7,0,3,14,0,1,5,7,0,1,15,0,30,5,8,17,1,0,88,4,11,3,68,1,0
경기,수원권선구,366,0,0,11,0,35,5,0,0,3,8,0,2,19,0,0,3,8,0,5,18,0,24,5,3,19,2,0,105,4,8,3,76,0,0
경기,수원영통구,527,0,0,10,0,37,4,1,0,11,13,0,11,22,0,2,2,11,2,3,25,0,25,4,20,25,0,0,141,12,35,2,108,1,0
경기,수원장안구,342,0,0,6,0,30,8,0,0,4,5,0,1,11,0,1,2,7,1,4,14,0,26,3,5,22,1,0,101,4,9,1,75,1,0
경기,수원팔달구,511,1,0,6,0,33,4,1,0,13,15,0,18,11,0,4,4,13,2,6,15,0,37,2,21,25,3,0,114,8,42,5,102,5,1
경기,시흥시,565,0,0,7,0,45,11,1,0,10,14,0,1,34,0,0,6,13,0,5,28,0,35,8,8,42,3,0,162,4,29,18,79,2,0
경기,안산단원구,496,1,0,5,0,38,11,1,0,12,16,0,14,17,0,4,2,12,3,8,15,0,33,1,13,30,3,0,124,7,30,11,83,2,0
경기,안산상록구,280,0,0,7,0,22,5,0,0,0,6,0,2,11,0,0,2,6,0,3,11,0,35,4,4,11,2,0,77,2,4,7,59,0,0
경기,안성시,191,0,0,3,0,8,8,0,0,4,3,0,0,9,1,0,4,4,0,2,8,0,24,3,2,6,1,0,59,3,4,1,34,0,0
경기,안양동안구,617,0,0,10,0,44,0,1,0,14,17,0,9,21,0,1,5,14,1,6,24,0,24,9,22,33,0,0,169,16,37,6,130,2,2
경기,안양만안구,310,0,0,3,0,26,5,0,0,3,6,0,6,8,0,1,4,4,1,2,10,0,26,3,7,16,3,0,91,10,9,2,64,0,0
경기,양주시,230,0,0,2,0,22,13,0,0,2,5,0,0,13,0,1,1,4,0,0,10,0,14,2,4,20,0,0,63,4,10,1,38,1,0
경기,양평군,117,0,0,1,1,4,8,0,0,2,1,0,0,3,0,0,1,4,0,3,2,0,13,1,1,3,0,0,29,3,3,2,32,0,0
경기,여주시,110,0,0,0,0,4,8,0,0,2,2,0,0,3,0,0,2,2,0,2,3,0,17,1,2,3,1,0,32,0,1,1,24,0,0
경기,연천군,31,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,6,0,1,2,0,0,11,0,0,0,5,0,0
경기,오산시,258,0,0,7,0,19,4,0,0,2,4,0,2,9,0,1,1,7,0,3,13,0,24,1,3,13,2,0,82,3,9,2,47,0,0
경기,용인기흥구,499,0,0,8,0,47,11,1,0,4,10,0,2,28,0,1,4,10,0,2,22,0,29,2,13,29,1,0,145,4,27,6,92,1,0
경기,용인수지구,500,0,0,10,0,48,3,0,0,3,11,1,4,24,0,3,6,13,2,3,26,0,17,5,11,27,0,2,139,4,28,2,106,2,0
경기,용인처인구,270,0,0,7,0,23,8,0,0,4,4,0,1,8,0,3,2,6,0,1,12,0,29,0,5,10,2,0,86,4,6,1,47,1,0
경기,의왕시,164,0,0,5,0,12,3,0,0,2,1,0,0,9,0,0,2,4,0,0,12,0,10,1,2,8,0,0,54,2,3,0,33,1,0
경기,의정부시,609,1,0,12,0,53,11,2,0,15,12,0,6,19,1,2,10,13,1,9,26,0,43,6,11,42,2,1,170,9,26,7,96,3,0
경기,이천시,227,0,0,3,0,21,6,0,0,4,6,0,3,6,1,2,3,5,0,4,7,0,20,0,4,14,0,0,55,3,8,1,51,0,0
경기,파주시,498,0,0,7,0,35,19,0,0,6,8,0,5,25,0,2,4,12,0,7,22,0,35,3,11,29,2,0,143,5,21,6,88,2,1
경기,평택시,662,1,0,16,0,45,9,1,0,10,16,0,6,24,0,1,4,17,0,9,23,0,65,6,9,29,5,0,195,9,35,7,118,1,1
경기,포천시,127,0,0,1,0,12,5,0,0,1,3,0,1,5,0,0,2,4,0,2,3,0,16,0,1,6,2,0,40,0,2,0,21,0,0
경기,하남시,448,0,1,5,0,38,6,0,0,4,12,0,3,22,0,4,4,12,0,6,22,0,31,5,12,24,1,0,106,8,30,4,88,0,0
경기,화성시,976,0,0,13,0,75,8,3,0,13,26,0,7,46,0,2,11,25,0,9,49,0,66,3,24,57,3,0,255,10,68,9,189,4,1
경남,거제시,190,0,0,1,0,14,1,0,0,1,5,0,3,5,0,0,2,4,0,0,6,0,30,1,3,8,3,0,51,4,8,1,38,1,0
경남,거창군,54,0,0,0,0,3,3,0,0,1,0,0,0,1,0,0,1,1,0,3,2,0,7,0,1,3,0,0,15,1,0,0,12,0,0
경남,고성군,38,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,6,0,0,0,0,0,9,2,0,0,10,0,0
경남,김해시,482,0,0,7,0,41,17,0,0,8,11,0,4,24,0,0,6,11,0,3,18,0,32,3,6,23,4,0,122,8,21,6,105,2,0
경남,남해군,37,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,10,0,0,1,0,0,9,0,1,0,9,0,0
경남,밀양시,76,0,0,2,0,6,4,0,0,2,2,0,0,0,0,0,1,2,0,0,3,0,10,0,2,1,0,0,15,1,0,1,24,0,0
경남,사천시,109,0,0,2,0,7,4,0,0,1,2,0,0,3,0,1,0,3,0,1,3,0,15,1,3,3,0,0,28,2,2,0,28,0,0
경남,산청군,27,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,4,0,0,0,10,0,0
경남,양산시,376,0,0,5,0,34,15,2,0,5,9,0,1,20,0,0,2,9,0,5,17,0,30,2,9,14,2,1,91,12,13,5,73,0,0
경남,의령군,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,0,0,6,0,0,0,5,0,0
경남,진주시,423,0,0,8,0,37,6,1,0,8,11,0,9,23,0,2,3,10,1,3,15,0,32,6,10,18,3,0,98,16,13,3,85,1,1
경남,창녕군,55,0,0,0,0,4,4,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,13,0,2,1,0,0,11,3,1,0,9,0,0
경남,창원마산합포구,199,0,0,2,1,19,12,0,0,3,5,0,1,2,1,1,4,4,0,7,6,0,11,1,6,7,2,0,46,6,5,1,45,0,1
경남,창원마산회원구,233,0,0,1,0,27,9,1,0,5,8,0,2,5,0,1,1,6,2,3,7,0,19,4,6,11,1,0,58,5,9,2,39,1,0
경남,창원성산구,377,0,0,4,0,23,3,1,0,9,8,1,14,8,0,1,1,10,0,6,11,0,32,4,8,7,1,1,108,6,23,5,81,0,1
경남,창원의창구,230,0,0,3,0,27,12,0,0,5,8,0,1,8,0,3,6,4,0,1,7,0,17,1,2,6,2,0,52,5,6,3,50,1,0
경남,창원진해구,176,0,0,1,0,20,4,0,0,5,2,0,0,8,0,2,1,5,1,2,10,0,11,1,2,7,1,0,44,2,9,0,38,0,0
